2024-03-06 11:33:10 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2024-03-06 11:33:10 [main] INFO  com.house.HouseApplication - Starting HouseApplication using Java 21.0.1 on 192.168.1.6 with PID 87008 (/Library/PP/Java/github/bysj24/house/house/house-admin/target/classes started by panpan in /Library/PP/Java/github/bysj24/house/house)
2024-03-06 11:33:10 [main] INFO  com.house.HouseApplication - The following 1 profile is active: "dev"
2024-03-06 11:33:14 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2024-03-06 11:33:15 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2024-03-06 11:33:15 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-03-06 11:33:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-03-06 11:33:17 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2024-03-06 11:33:17 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-03-06 11:33:17 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2024-03-06 11:33:20 [main] INFO  c.h.framework.config.JacksonConfig - 初始化 jackson 配置
2024-03-06 11:33:20 [main] INFO  c.house.framework.config.RedisConfig - 初始化 redis 配置
2024-03-06 11:33:20 [main] INFO  org.redisson.Version - Redisson 3.20.1
2024-03-06 11:33:21 [redisson-netty-2-6] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 43.142.255.148/43.142.255.148:6379
2024-03-06 11:33:21 [redisson-netty-2-3] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 43.142.255.148/43.142.255.148:6379
2024-03-06 11:33:27 [main] INFO  io.undertow - starting server: Undertow - 2.2.28.Final
2024-03-06 11:33:27 [main] INFO  org.xnio - XNIO version 3.8.7.Final
2024-03-06 11:33:27 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.7.Final
